City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Atuona,27,PF,1569632465,76,-9.8,-139.03,79.37,12.95
Rikitea,33,PF,1569632466,76,-23.12,-134.97,73.37,11.25
Tiksi,55,RU,1569632283,79,71.64,128.87,31.79,14.83
Jamestown,0,AU,1569632299,47,-33.21,138.6,57.6,5.93
Kapaa,90,US,1569632469,78,22.08,-159.32,86.0,3.36
Port Alfred,17,ZA,1569632471,89,-33.59,26.89,64.99,3.0
Sri Aman,75,MY,1569632472,94,1.24,111.46,77.0,2.24
Flinders,40,AU,1569632473,36,-34.58,150.85,69.01,8.05
Port Elizabeth,1,US,1569632474,68,39.31,-74.98,71.6,6.93
College,90,US,1569632475,52,64.86,-147.8,46.4,2.15
Albany,40,US,1569632216,63,42.65,-73.75,64.4,4.7
Beloha,100,MG,1569632476,80,-25.17,45.06,67.83,12.24
Meadow Lake,90,CA,1569632477,51,54.13,-108.44,37.4,16.11
Paddhari,75,IN,1569632479,94,22.44,70.6,79.0,9.17
Hithadhoo,98,MV,1569632480,77,-0.6,73.08,83.04,15.75
Tarrafal,0,CV,1569632481,78,15.28,-23.77,78.8,8.05
Atrauli,100,IN,1569632482,87,28.04,78.28,74.49,7.85
Mollendo,22,PE,1569632483,82,-17.03,-72.02,59.78,9.04
Byron Bay,25,AU,1569632486,60,-28.65,153.62,82.0,19.46
Qaanaaq,61,GL,1569632486,49,77.48,-69.36,35.25,11.5
Batagay,78,RU,1569632487,71,67.65,134.64,34.02,1.25
Caceres,46,CO,1569632487,87,5.53,-74.53,69.2,3.53
Aykhal,0,RU,1569632489,79,65.95,111.51,24.8,4.47
Impfondo,10,CD,1569632489,95,1.62,18.06,71.12,1.19
Varkkallai,40,IN,1569632490,100,8.73,76.71,77.0,3.36
Ajdabiya,0,LY,1569632492,75,30.75,20.22,75.51,11.03
Basoda,100,IN,1569632492,95,23.85,77.92,70.98,10.94
Tasiilaq,20,GL,1569632493,86,65.61,-37.64,39.2,1.88
Tuatapere,100,NZ,1569632494,88,-46.13,167.69,52.98,37.74
Inhambane,79,MZ,1569632495,83,-23.87,35.38,63.04,10.07
Simbahan,17,PH,1569632496,70,6.3,120.58,83.07,5.79
Sitka,0,US,1569632497,65,37.17,-99.65,79.0,14.0
Coquimbo,0,CL,1569632499,76,-29.95,-71.34,55.4,6.93
Ironton,1,US,1569632499,73,38.54,-82.68,81.0,2.15
Mar del Plata,84,AR,1569632501,18,-46.43,-67.52,63.18,11.41
Bundaberg,40,AU,1569632502,53,-24.87,152.35,77.0,8.05
Sedalia,1,US,1569632462,69,38.7,-93.23,84.0,6.93
Yendi,100,GH,1569632503,85,9.45,0.0,76.43,4.14
Masunga,0,BW,1569632504,28,-20.62,27.45,53.05,6.44
Celestun,30,MX,1569632504,81,20.87,-90.4,83.34,24.61
Georgetown,0,GY,1569632506,100,6.8,-58.16,77.0,4.7
Ucluelet,20,CA,1569632506,58,48.94,-125.55,59.0,16.11
Ponta do Sol,27,BR,1569632508,67,-20.63,-46.0,66.59,2.51
Rome,0,IT,1569632380,77,41.89,12.48,66.99,4.7
Honningsvag,44,NO,1569632509,86,70.98,25.97,45.65,11.3
Anadyr,40,RU,1569632510,87,64.73,177.51,46.4,11.18
El Tocuyo,0,VE,1569632510,68,9.79,-69.8,76.47,4.05
Dikson,98,RU,1569632511,90,73.51,80.55,33.95,13.27
Bolobo,19,CD,1569632511,87,-2.17,16.23,74.2,2.39
Misratah,0,LY,1569632513,75,32.38,15.09,77.8,10.83
Hamilton,75,CA,1569632292,68,43.26,-79.87,70.0,6.93
Raudeberg,100,NO,1569632514,67,61.99,5.14,57.2,8.05
Erzin,0,TR,1569632516,94,36.95,36.2,75.0,3.36
Manado,20,ID,1569632516,58,1.49,124.85,87.8,2.24
Wanning,75,AT,1569632519,87,48.64,13.53,61.0,5.82
Narsaq,20,GL,1569632520,60,60.91,-46.05,41.0,2.24
Kadoma,75,JP,1569632521,78,34.73,135.6,86.0,2.24
Nchelenge,45,ZM,1569632522,47,-9.35,28.74,66.8,8.86
Lazaro Cardenas,20,MX,1569632525,29,28.39,-105.62,87.8,8.81
Quatre Cocos,40,MU,1569632526,83,-20.21,57.76,72.0,9.17
Brae,85,GB,1569632527,100,60.4,-1.35,51.8,8.05
Yulara,0,AU,1569632527,22,-25.24,130.99,78.8,8.05
Ribeira Grande,92,PT,1569632528,86,38.52,-28.7,72.9,18.72
Arraial do Cabo,17,BR,1569632532,87,-22.97,-42.02,69.88,10.13
Puerto Ayora,20,EC,1569632533,69,-0.74,-90.35,73.4,9.17
Wasilla,1,US,1569632533,57,61.58,-149.44,50.0,3.36
Luderitz,35,NA,1569632534,45,-26.65,15.16,71.6,2.24
Vestmannaeyjar,43,IS,1569632535,89,63.44,-20.27,48.87,4.14
Codrington,0,AU,1569632536,44,-28.95,153.24,82.0,12.75
Deputatskiy,92,RU,1569632537,92,69.3,139.9,23.53,2.62
Indramayu,44,ID,1569632538,75,-4.05,103.78,68.06,3.13
Broome,53,GB,1569632539,87,52.47,1.45,54.0,10.29
Luzhou,0,CN,1569632541,68,28.89,105.45,71.34,2.37
Hobart,75,AU,1569632421,50,-42.88,147.33,57.0,11.41
Copiapo,0,CL,1569632500,71,-27.37,-70.33,55.4,10.29
Kilindoni,0,TZ,1569632544,79,-7.91,39.67,77.21,14.54
Rawson,100,AR,1569632544,47,-43.3,-65.11,64.26,11.52
Constitucion,90,MX,1569632545,38,23.99,-104.67,75.2,4.7
Geraldton,20,CA,1569632547,93,49.72,-86.95,37.4,2.06
Lashio,0,MM,1569632547,89,22.93,97.75,62.05,1.81
Damietta,20,EG,1569632548,78,31.42,31.81,77.0,10.29
Lodwar,97,KE,1569632550,43,3.12,35.6,82.57,19.28
Altamont,90,CA,1569632551,87,49.4,-98.5,48.2,5.82
Saquarema,40,BR,1569632551,83,-22.93,-42.51,71.6,5.82
Dingle,92,PH,1569632552,77,11.0,122.67,81.08,0.38
Talnakh,75,RU,1569632553,96,69.49,88.39,32.0,8.95
Koumac,35,NC,1569632555,74,-20.56,164.28,71.16,8.37
Fortuna,0,ES,1569632557,94,38.18,-1.13,72.0,3.36
Castro,90,CL,1569632557,93,-42.48,-73.76,50.0,14.99
Verkhnevilyuysk,0,RU,1569632558,80,63.45,120.31,32.26,5.68
Gat,20,SN,1569632461,88,14.69,-16.54,82.4,4.7
Umm Kaddadah,93,SD,1569632559,65,13.6,26.69,79.44,10.98
Zabid,74,YE,1569632560,77,14.2,44.5,67.7,1.5
Sapulpa,1,US,1569632528,58,36.0,-96.11,84.2,11.41
Divo,100,CI,1569632562,98,5.83,-5.36,72.94,4.03
Sao Joao do Paraiso,99,BR,1569632564,66,-15.31,-42.01,69.11,3.27
Nyurba,0,RU,1569632564,68,63.29,118.35,32.4,5.53
Chuy,96,UY,1569632566,80,-33.69,-53.46,55.7,8.9
Kirakira,6,SB,1569632568,68,-10.46,161.92,84.42,4.43
Cabo San Lucas,5,MX,1569632301,65,22.89,-109.91,84.99,14.99
Ishigaki,75,JP,1569632569,94,24.34,124.16,80.6,8.05
Vaini,40,IN,1569632573,94,15.34,74.49,68.0,2.37
Sibolga,55,ID,1569632558,75,1.74,98.78,81.2,5.12
Sungairaya,99,ID,1569632574,71,0.7,108.9,82.48,4.52
Marystown,93,CA,1569632575,91,47.17,-55.16,53.97,12.1
Takoradi,100,GH,1569632473,94,4.89,-1.75,74.78,6.15
Canutama,100,BR,1569632441,92,-6.53,-64.38,74.7,2.89
Magdagachi,98,RU,1569632576,61,53.45,125.8,60.05,8.39
Kaitangata,100,NZ,1569632513,83,-46.28,169.85,51.52,10.51
Banda Aceh,60,ID,1569632449,71,5.56,95.32,82.44,4.47
Chapais,90,CA,1569632578,81,49.78,-74.86,51.8,12.75
Pacific Grove,90,US,1569632539,77,36.62,-121.92,71.01,8.05
Khatanga,74,RU,1569632486,86,71.98,102.47,28.17,3.31
Thinadhoo,86,MV,1569632581,77,0.53,72.93,83.0,14.43
Carnarvon,0,ZA,1569632583,12,-30.97,22.13,57.66,8.12
Atar,100,MR,1569632529,11,20.52,-13.05,96.81,3.78
Kieta,0,PG,1569632586,70,-6.22,155.63,83.24,5.55
Bonga,71,ET,1569632594,99,7.26,36.25,53.59,0.92
Zabol,0,IR,1569632595,30,31.03,61.49,71.6,6.93
Antipovka,92,RU,1569632596,65,49.83,45.31,47.92,4.09
Sorland,34,NO,1569632598,68,67.67,12.69,54.02,8.01
Thompson,90,CA,1569632598,48,55.74,-97.86,39.2,9.17
Arinos,84,BR,1569632600,78,-15.92,-46.11,69.43,3.04
Qaqortoq,20,GL,1569632601,60,60.72,-46.03,41.0,2.24
Lebu,75,ET,1569632602,93,8.96,38.73,55.4,4.7
Smidovich,27,RU,1569632603,78,48.6,133.81,63.27,6.96
Assiniboia,94,CA,1569632447,53,49.63,-105.99,44.66,12.59
Rio Grande,100,BR,1569632579,76,-32.03,-52.1,59.0,1.99
Tuktoyaktuk,75,CA,1569632606,74,69.44,-133.03,37.4,6.93
Berlevag,16,NO,1569632607,88,70.86,29.09,45.42,12.35
Okhotsk,99,RU,1569632608,55,59.36,143.24,45.08,11.39
Burnie,65,AU,1569632609,62,-41.05,145.91,50.22,7.67
Skibbereen,75,IE,1569632611,93,51.55,-9.27,55.4,11.41
Baherden,0,TM,1569632611,74,38.44,57.43,58.76,1.23
Amapa,75,HN,1569632612,83,15.09,-87.97,84.0,5.82
Portland,20,US,1569632267,77,43.66,-70.25,61.0,6.93
Itapuranga,84,BR,1569632615,57,-15.56,-49.95,74.27,4.76
New Norfolk,75,AU,1569632616,50,-42.78,147.06,57.0,11.41
Luangwa,3,MZ,1569632617,41,-15.62,30.4,55.07,0.56
Samarai,100,PG,1569632617,92,-10.62,150.67,77.42,7.18
Cherskiy,100,RU,1569632504,86,68.75,161.3,34.96,2.68
Lorengau,48,PG,1569632599,70,-2.02,147.27,84.95,7.38
Faanui,37,PF,1569632622,84,-16.48,-151.75,78.84,11.65
Victoria,75,BN,1569632404,83,5.28,115.24,82.4,2.24
Christchurch,53,NZ,1569632624,34,-43.53,172.64,66.99,20.8
Titusville,20,US,1569632624,46,41.62,-79.67,73.0,6.93
Klaksvik,94,FO,1569632626,93,62.23,-6.59,51.8,4.7
Vila Velha,20,BR,1569632576,78,-3.71,-38.6,78.8,9.17
Norman Wells,40,CA,1569632627,37,65.28,-126.83,50.0,13.87
Longyearbyen,75,NO,1569632509,85,78.22,15.63,24.8,4.47
Katsuura,75,JP,1569632629,58,33.93,134.5,82.4,19.46
Mahebourg,40,MU,1569632597,83,-20.41,57.7,72.0,9.17
Walvis Bay,73,NA,1569632631,87,-22.95,14.51,61.0,10.29
San Lorenzo,93,HN,1569632631,93,13.43,-87.45,76.5,3.02
Cidreira,100,BR,1569632632,70,-30.17,-50.22,59.76,11.21
Udachnyy,0,RU,1569632632,79,66.42,112.4,24.8,4.47
Saint George,7,GR,1569632633,77,39.45,22.34,59.0,3.36
Ilulissat,0,GL,1569632634,42,69.22,-51.1,48.2,21.92
Vila Franca do Campo,40,PT,1569632636,88,37.72,-25.43,71.6,8.05
Ostrovnoy,100,RU,1569632638,95,68.05,39.51,41.62,7.16
Panama City,1,US,1569632619,78,30.16,-85.65,82.99,4.7
Japura,3,ID,1569632639,97,-0.42,102.29,73.39,2.13
Islamkot,99,PK,1569632639,84,24.7,70.18,79.62,8.37
Saint Anthony,1,US,1569632577,39,43.97,-111.68,62.6,11.41
Mitu,0,IR,1569632641,69,36.2,46.09,48.48,2.64
Atambua,0,ID,1569632642,70,-9.11,124.89,76.61,4.88
Hasaki,75,JP,1569632642,69,35.73,140.83,82.0,8.05
Ngunguru,17,NZ,1569632643,60,-35.62,174.5,64.0,8.99
Przasnysz,75,PL,1569632644,100,53.02,20.88,59.0,8.05
Bagenalstown,92,IE,1569632646,91,52.7,-6.96,57.0,8.01
Orumiyeh,0,IR,1569632441,66,37.55,45.08,50.0,6.93
Egvekinot,100,RU,1569632648,100,66.32,-179.17,35.72,6.91
Kungurtug,54,RU,1569632648,67,50.6,97.53,35.43,3.89
Akdepe,0,TM,1569632649,71,42.05,59.39,57.2,9.17
Port-Cartier,5,CA,1569632650,100,50.03,-66.88,48.0,4.7
Tateyama,75,JP,1569632651,78,36.66,137.31,77.0,4.7
Ahipara,0,NZ,1569632651,76,-35.17,173.16,57.44,10.29
Kidal,0,ML,1569632653,10,18.44,1.41,92.27,12.3
Duku,77,ID,1569632655,85,-1.19,100.47,79.1,11.95
Dodge City,1,US,1569632490,51,37.75,-100.02,80.6,13.87
Leningradskiy,100,RU,1569632655,98,69.38,178.42,39.96,7.07
Mogzon,6,RU,1569632656,78,51.74,111.97,29.96,7.18
Viedma,100,AR,1569632657,44,-40.81,-62.99,63.35,18.97
Faya,20,SA,1569632657,68,18.39,42.45,66.2,11.41
Montevideo,90,US,1569632598,71,44.94,-95.72,53.6,9.17
Souillac,0,FR,1569632527,87,45.6,-0.6,62.01,4.7
Praya,40,ID,1569632516,69,-8.71,116.27,82.4,13.87
Menongue,76,AO,1569632659,38,-14.66,17.68,60.23,4.97
Jackson,20,US,1569632426,41,43.48,-110.76,59.0,3.36
Merauke,67,ID,1569632514,81,-8.49,140.4,78.3,20.54
Tambacounda,0,SN,1569632663,83,13.77,-13.67,82.4,4.7
Chokurdakh,11,RU,1569632663,74,70.62,147.9,28.07,4.99
Saint-Georges,17,CA,1569632664,100,46.12,-70.67,50.0,4.97
Farafangana,52,MG,1569632664,97,-22.82,47.83,66.55,3.36
La Ronge,90,CA,1569632665,51,55.1,-105.3,37.4,10.29
Chepareria,93,KE,1569632665,83,1.32,35.2,65.94,1.72
Bremerton,40,US,1569632403,68,38.4,-75.51,73.99,5.82
Hillsborough,90,US,1569632667,82,37.57,-122.38,64.99,12.75
Noumea,40,NC,1569632500,47,-22.28,166.46,80.6,9.17
Sisimiut,0,GL,1569632667,86,66.94,-53.67,42.03,10.16
Kolobrzeg,82,PL,1569632563,94,54.18,15.58,57.0,13.35
Harper,1,US,1569632669,37,30.3,-99.24,86.0,6.93
Kamyshin,92,RU,1569632670,65,50.08,45.4,47.92,4.09
Knyaze-Volkonskoye,0,RU,1569632670,60,48.46,135.46,68.0,6.71
Port Lincoln,95,AU,1569632509,63,-34.72,135.86,53.32,8.05
Havre,20,US,1569632671,55,48.55,-109.68,50.0,6.93
Bethel,90,US,1569632403,71,60.79,-161.76,51.8,17.22
Cayenne,0,GF,1569632486,78,4.94,-52.33,80.6,5.82
Saskylakh,97,RU,1569632673,91,71.97,114.09,29.07,8.63
Bereda,46,ES,1569632674,100,43.27,-7.54,54.0,5.82
Butaritari,59,KI,1569632677,62,3.07,172.79,84.84,7.34
Pevek,100,RU,1569632678,95,69.7,170.27,36.98,20.18
Vanimo,82,PG,1569632679,74,-2.67,141.3,81.15,5.12
Sierre,90,CH,1569632679,63,46.29,7.53,63.0,4.7
Cortez,1,US,1569632680,31,37.35,-108.58,75.2,10.31
Avarua,51,CK,1569632634,73,-21.21,-159.78,75.2,4.7
Mount Gambier,90,AU,1569632682,58,-37.83,140.78,53.6,5.82
Matara,41,BI,1569632682,86,-3.48,29.48,51.79,0.6
Kommunisticheskiy,94,RU,1569632683,97,61.68,64.48,32.82,2.71
Bataipora,0,BR,1569632684,48,-22.3,-53.27,71.34,3.51
Masuda,75,JP,1569632685,100,34.68,131.85,80.6,9.17
Kavieng,100,PG,1569632685,74,-2.57,150.8,83.99,11.92
Lakes Entrance,78,AU,1569632642,51,-37.88,147.99,57.99,1.99
Tarko-Sale,100,RU,1569632688,94,64.92,77.78,28.0,9.19
Alice Springs,21,AU,1569632688,17,-23.7,133.88,82.4,11.41
Umm Lajj,0,SA,1569632689,53,25.02,37.27,87.3,14.34
Makokou,100,GA,1569632690,98,0.56,12.85,68.75,6.02
Salta,5,AR,1569632690,40,-24.79,-65.41,73.4,5.82
Berga,75,ES,1569632691,73,42.1,1.85,73.4,3.36
Hun,69,BE,1569632692,87,50.34,4.87,57.99,14.99
Esperance,90,AU,1569632693,100,-33.86,121.89,55.4,9.17
Port Blair,85,IN,1569632694,78,11.67,92.75,81.65,7.34
Oranjemund,0,ZA,1569632694,63,-28.55,16.43,62.39,4.03
Tankhoy,0,RU,1569632695,73,51.55,105.12,38.47,4.5
Caluquembe,98,AO,1569632695,75,-13.78,14.68,62.88,4.7
Darhan,15,MN,1569632696,81,49.49,105.92,35.14,4.88
Sur,13,OM,1569632698,58,22.57,59.53,83.67,4.83
Port Hedland,8,AU,1569632701,39,-20.31,118.58,80.6,10.29
Marsa Matruh,20,EG,1569632703,73,31.35,27.25,75.2,5.82
Jablanica,0,BA,1569632704,87,43.66,17.76,55.4,2.24
Flin Flon,100,CA,1569632445,54,54.77,-101.88,37.53,5.48
Cosamaloapan,100,MX,1569632706,81,18.36,-95.8,82.0,1.99
Los Llanos de Aridane,75,ES,1569632706,73,28.66,-17.92,73.4,8.05
Port Hawkesbury,1,CA,1569632707,81,45.62,-61.36,57.99,8.05
Havre-Saint-Pierre,40,CA,1569632708,93,50.23,-63.6,46.4,10.29
Severo-Kurilsk,17,RU,1569632709,81,50.68,156.12,46.3,16.37
Kahului,40,US,1569632678,62,20.89,-156.47,89.6,25.28
Concepcion del Oro,51,MX,1569632715,53,24.63,-101.42,71.46,2.98
Roebourne,54,AU,1569632716,34,-20.77,117.15,74.47,6.53
Myitkyina,0,MM,1569632716,84,25.38,97.4,68.33,2.15
Pisco,90,PE,1569632717,82,-13.71,-76.2,63.0,14.99
Adre,57,TD,1569632718,45,13.47,22.2,78.48,8.99
Antalaha,100,MG,1569632718,99,-14.9,50.28,67.0,0.83
Vicente Guerrero,90,MX,1569632721,56,16.93,-96.7,71.6,13.87
Sorong,74,ID,1569632722,84,-0.86,131.25,78.86,6.06
Isangel,75,VU,1569632723,54,-19.55,169.27,82.4,13.87
Bajil,0,ES,1569632723,78,38.23,-2.07,57.0,1.99
Leshan,0,CN,1569632724,77,29.56,103.76,65.42,1.95
Palu,70,ID,1569632725,77,-0.9,119.87,80.59,1.97
Alberdi,0,AR,1569632725,64,-26.19,-58.14,73.4,6.93
Grindavik,0,IS,1569632727,81,63.84,-22.43,46.4,14.99
Poya,35,NC,1569632728,75,-21.35,165.16,70.15,11.16
Languyan,75,FR,1569632729,93,48.3,-3.83,57.99,13.87
Natal,20,BR,1569632730,78,-5.81,-35.21,78.8,9.17
Nioro,15,GM,1569632730,86,13.79,-15.05,77.64,8.34
Mae Sot,20,MM,1569632731,94,16.71,98.57,73.4,1.12
Surgana,100,IN,1569632731,91,20.56,73.64,71.23,6.4
Yeppoon,40,AU,1569632732,44,-23.13,150.74,80.6,5.82
Lakhimpur,83,IN,1569632733,87,27.24,94.1,60.12,2.86
Galdar,40,ES,1569632736,78,28.15,-15.65,71.6,20.8
Ust-Kulom,30,RU,1569632552,98,61.69,53.69,26.63,3.96
Kudahuvadhoo,97,MV,1569632738,74,2.67,72.89,82.75,7.74
Westport,1,US,1569632526,52,41.14,-73.36,68.0,11.41
Salinopolis,17,BR,1569632739,78,-0.61,-47.36,81.58,21.94
Mogadishu,76,SO,1569632478,87,2.04,45.34,74.33,7.54
Upernavik,28,GL,1569632741,49,72.79,-56.15,43.53,7.23
Kipushi,20,CD,1569632742,58,-11.76,27.24,52.06,4.76
Cururupu,9,BR,1569632612,92,-1.82,-44.87,73.52,3.13
Moindou,40,NC,1569632743,47,-21.69,165.68,80.6,9.17
Champerico,90,MX,1569632744,94,16.38,-93.6,73.4,8.05
Jiancheng,4,CN,1569632744,88,30.39,104.55,78.01,2.51
San Jose,84,HN,1569632748,94,14.25,-87.96,68.21,2.75
Vardo,1,US,1569632752,60,39.62,-77.74,73.99,6.93
Acapulco,90,MX,1569632644,79,16.86,-99.88,84.2,6.55
Glenwood Springs,75,US,1569632753,34,39.55,-107.33,73.4,20.8
Emba,0,CY,1569632757,77,34.81,32.42,73.4,6.93
Bandarbeyla,45,SO,1569632758,76,9.49,50.81,76.07,16.58
Sohagpur,100,IN,1569632758,97,22.7,78.2,72.44,4.9
Kenai,1,US,1569632759,53,60.55,-151.26,51.8,8.05
Touros,20,BR,1569632760,83,-5.2,-35.46,75.2,6.93
Biak,87,ID,1569632761,89,-0.91,122.88,67.58,4.34
Lasa,0,CY,1569632762,77,34.92,32.53,73.4,6.93
Agirish,85,RU,1569632766,94,61.92,63.02,32.48,5.28
Ayan,0,IR,1569632767,47,38.23,44.7,47.4,5.88
Canavieiras,48,BR,1569632768,86,-15.68,-38.95,74.87,8.81
Urusha,95,RU,1569632770,78,54.05,122.9,44.3,14.41
Haines Junction,0,CA,1569632773,39,60.75,-137.51,41.26,4.9
Broken Hill,0,AU,1569632628,38,-31.97,141.45,60.8,11.41
Nabire,89,ID,1569632775,72,-3.36,135.5,77.22,3.42
Golden,90,US,1569632777,51,39.76,-105.22,64.4,11.41
Saint-Pierre,40,FR,1569632555,93,48.95,4.24,57.2,14.99
Nhulunbuy,1,AU,1569632779,58,-12.18,136.78,84.2,12.75
Provideniya,100,RU,1569632780,99,64.42,-173.23,41.84,4.99
Nova Olimpia,52,BR,1569632781,57,-14.8,-57.29,80.95,2.64
Inuvik,20,CA,1569632782,69,68.36,-133.71,39.2,4.7
Santa Cruz de Tenerife,20,ES,1569632783,93,28.47,-16.25,73.0,12.75
Pointe Michel,20,DM,1569632785,88,15.25,-61.38,80.6,3.36
Sao Filipe,2,CV,1569632590,86,14.9,-24.5,77.58,10.85
Inzhavino,70,RU,1569632790,87,52.33,42.5,43.35,5.55
Goderich,100,CA,1569632791,74,43.74,-81.71,66.0,3.0
Russell,1,US,1569632792,69,38.9,-98.86,75.2,9.17
Kruisfontein,3,ZA,1569632519,90,-34.0,24.73,56.76,2.89
Nouakchott,20,MR,1569632793,83,18.08,-15.98,80.6,10.29
Loei,40,TH,1569632794,94,17.49,101.72,71.6,2.24
Iberia,0,PE,1569632795,44,-11.41,-69.49,79.29,2.93
Tessalit,0,ML,1569632796,7,20.2,1.01,88.44,9.6
Palestine,40,US,1569632796,69,31.76,-95.63,84.2,6.93
Uvat,80,RU,1569632799,94,59.14,68.9,29.52,4.47
Jalu,0,LY,1569632799,71,29.03,21.55,72.99,9.78
Pangoa,18,PE,1569632801,79,-12.12,-73.0,73.23,2.71
Yar-Sale,75,RU,1569632801,96,66.83,70.83,31.16,0.34
Twin Falls,1,US,1569632802,22,42.57,-114.46,68.0,3.36
Aklavik,20,CA,1569632649,69,68.22,-135.01,39.2,4.7
Yilan,3,CN,1569632510,77,43.11,129.52,62.48,2.19
Bellevue,75,DE,1569632696,93,50.05,10.19,55.4,8.05
Hovd,40,NO,1569632804,66,63.83,10.7,54.0,18.34
Coahuayana,21,MX,1569632804,82,18.62,-100.35,80.81,1.77
Mandera,55,ET,1569632805,67,3.94,41.86,77.91,9.31
Oranjestad,20,AW,1569632807,79,12.52,-70.03,84.2,20.8
Lompoc,90,US,1569632766,68,34.64,-120.46,70.0,6.93
Erenhot,72,CN,1569632809,62,43.65,111.97,58.31,15.48
Chenzhou,0,CN,1569632809,53,25.81,113.03,70.1,0.38
Maceio,0,BR,1569632813,88,-9.67,-35.74,73.4,9.17
Omboue,100,GA,1569632814,87,-1.57,9.26,77.03,17.65
Taoudenni,76,ML,1569632815,8,22.68,-3.98,95.26,11.05
San Patricio,7,PY,1569632816,61,-26.98,-56.83,68.35,9.31
Karabuk,0,TR,1569632817,86,41.2,32.63,53.88,3.85
Abu Samrah,0,SY,1569632570,80,35.3,37.18,62.75,3.24
Matagami,93,NG,1569632818,97,9.67,8.4,69.18,4.14
Carinhanha,100,BR,1569632819,49,-14.3,-43.77,79.35,2.8
Alexandria,0,RO,1569632756,79,43.97,25.33,51.01,3.15
Aksu,90,KZ,1569632824,93,52.04,76.93,39.2,8.95
Bajos de Haina,20,DO,1569632824,88,18.41,-70.03,84.99,4.7
Meulaboh,100,ID,1569632825,82,4.14,96.13,79.46,7.23
Bushehr,0,IR,1569632826,74,28.97,50.84,86.0,7.23
Almeirim,27,BR,1569632826,89,-1.53,-52.58,75.44,4.5
Tual,84,ID,1569632827,83,-5.67,132.75,78.03,17.67
Margate,75,AU,1569632827,50,-43.03,147.26,57.99,11.41
Santiago de Cao,75,PE,1569632828,87,-7.96,-79.24,60.8,11.41
Yelizovo,0,RU,1569632828,37,53.19,158.38,55.4,13.42
Manyana,40,AU,1569632829,36,-35.26,150.51,62.6,8.05
Buin,0,CL,1569632830,58,-33.73,-70.74,59.0,8.05
Najran,75,SA,1569632831,69,17.54,44.22,75.2,6.93
Nanakuli,40,US,1569632831,66,21.39,-158.15,91.4,4.7
Shelburne,75,CA,1569632832,49,44.08,-80.2,70.0,17.22
Khor,0,RU,1569632833,84,47.88,134.96,63.02,8.52
Kirkuk,0,IQ,1569632833,27,35.47,44.4,78.11,7.81
Hami,81,CN,1569632835,27,42.84,93.51,67.09,3.04
Golkoy,75,TR,1569632836,82,40.69,37.62,66.2,8.05
Nileshwar,20,IN,1569632836,94,12.25,75.1,75.2,3.36
Goundi,38,TD,1569632838,86,9.36,17.37,72.87,4.7
Prado,100,CO,1569632841,53,3.75,-74.93,83.29,3.09
San Gabriel,90,US,1569632621,72,34.1,-118.11,73.4,5.82
